Timestamp,Light Color,State,Response Time (s),Time Since Last Change (s),FPS,Runtime (s),Detection %,Confidences,Other Object Counter,Other Object Confidence % Average
2025-05-19T09:01:15.381220,RED,ON,2.838,2.838,7.12,6.18,56.82,,,0,0.00
2025-05-19T09:01:15.450279,RED,ON,2.907,2.907,7.20,6.25,57.78,motorcycle: 1,motorcycle:0.45,1,45.25
2025-05-19T09:01:15.514810,RED,ON,2.972,2.972,7.28,6.32,56.52,,,0,0.00
2025-05-19T09:01:15.582817,RED,ON,3.040,3.040,7.36,6.38,55.32,,,0,0.00
2025-05-19T09:01:15.649155,RED,ON,3.106,3.106,7.44,6.45,54.17,,,0,0.00
2025-05-19T09:01:15.714168,RED,ON,3.171,3.171,7.52,6.52,55.10,motorcycle: 1,motorcycle:0.39,1,39.11
2025-05-19T09:01:15.781184,RED,ON,3.238,3.238,7.60,6.58,56.00,motorcycle: 1,motorcycle:0.33,1,32.98
2025-05-19T09:01:15.845211,RED,ON,3.302,3.302,7.67,6.65,56.86,motorcycle: 1,motorcycle:0.36,1,36.43
2025-05-19T09:01:15.913123,RED,ON,3.370,3.370,7.74,6.72,55.77,,,0,0.00
2025-05-19T09:01:15.981161,RED,ON,3.438,3.438,7.81,6.78,56.60,motorcycle: 1,motorcycle:0.52,1,51.77
2025-05-19T09:01:16.045165,RED,ON,3.502,3.502,7.89,6.85,55.56,,,0,0.00
2025-05-19T09:01:16.113111,RED,ON,3.570,3.570,7.95,6.92,56.36,motorcycle: 1,motorcycle:0.39,1,39.50
2025-05-19T09:01:16.176550,RED,ON,3.634,3.634,8.02,6.98,55.36,,,0,0.00
2025-05-19T09:01:16.245187,RED,ON,3.702,3.702,8.09,7.05,56.14,motorcycle: 1,motorcycle:0.47,1,46.78
2025-05-19T09:01:16.313449,RED,ON,3.771,3.771,8.15,7.12,56.90,motorcycle: 1,motorcycle:0.35,1,35.28
2025-05-19T09:01:16.377229,RED,ON,3.834,3.834,8.22,7.18,55.93,,,0,0.00
2025-05-19T09:01:16.445235,RED,ON,3.902,3.902,8.28,7.25,56.67,motorcycle: 1,motorcycle:0.31,1,30.68
2025-05-19T09:01:16.509371,RED,ON,3.966,3.966,8.34,7.31,57.38,motorcycle: 1,motorcycle:0.45,1,44.87
